RANK #1,	Token ID: 1,	 score: 55,	type:Witch of Woe,	skills: {"will":9,"wisdom":9,"wonder":9,"woe":10,"wit":9,"wiles":9}
RANK #2,	Token ID: 2,	 score: 55,	type:Witch of Wisdom,	skills: {"will":9,"wisdom":10,"wonder":9,"woe":9,"wit":9,"wiles":9}
RANK #3,	Token ID: 3,	 score: 55,	type:Witch of Will,	skills: {"will":10,"wisdom":9,"wonder":9,"woe":9,"wit":9,"wiles":9}
RANK #4,	Token ID: 4,	 score: 55,	type:Witch of Wonder,	skills: {"will":9,"wisdom":9,"wonder":10,"woe":9,"wit":9,"wiles":9}
RANK #5,	Token ID: 5,	 score: 55,	type:Witch of Wit,	skills: {"will":9,"wisdom":9,"wonder":9,"woe":9,"wit":10,"wiles":9}
RANK #6,	Token ID: 137,	 score: 54,	type:mage,	skills: {"will":9,"wit":9,"wiles":9,"wisdom":9,"wonder":9,"woe":9}
RANK #7,	Token ID: 8423,	 score: 49,	type:hag,	skills: {"will":7,"wit":8,"wiles":8,"wisdom":9,"wonder":9,"woe":8}
RANK #8,	Token ID: 1146,	 score: 48,	type:occultist,	skills: {"will":7,"wit":7,"wiles":9,"wisdom":8,"wonder":8,"woe":9}
RANK #9,	Token ID: 2164,	 score: 48,	type:seer,	skills: {"will":9,"wit":6,"wiles":8,"wisdom":9,"wonder":8,"woe":8}
RANK #10,	Token ID: 3015,	 score: 48,	type:enchantress,	skills: {"will":8,"wit":9,"wiles":9,"wisdom":6,"wonder":8,"woe":8}
RANK #11,	Token ID: 6729,	 score: 48,	type:necromancer,	skills: {"will":9,"wit":7,"wiles":8,"wisdom":8,"wonder":7,"woe":9}
RANK #12,	Token ID: 7354,	 score: 48,	type:necromancer,	skills: {"will":8,"wit":7,"wiles":8,"wisdom":9,"wonder":8,"woe":8}
RANK #13,	Token ID: 7821,	 score: 48,	type:occultist,	skills: {"will":8,"wit":9,"wiles":9,"wisdom":6,"wonder":7,"woe":9}
RANK #14,	Token ID: 7906,	 score: 48,	type:necromancer,	skills: {"will":9,"wit":7,"wiles":7,"wisdom":8,"wonder":8,"woe":9}
RANK #15,	Token ID: 9092,	 score: 48,	type:necromancer,	skills: {"will":9,"wit":7,"wiles":7,"wisdom":8,"wonder":8,"woe":9}
RANK #16,	Token ID: 2921,	 score: 47,	type:necromancer,	skills: {"will":9,"wit":8,"wiles":8,"wisdom":7,"wonder":8,"woe":7}
RANK #17,	Token ID: 3220,	 score: 47,	type:occultist,	skills: {"will":6,"wit":8,"wiles":8,"wisdom":8,"wonder":8,"woe":9}
RANK #18,	Token ID: 3900,	 score: 47,	type:necromancer,	skills: {"will":8,"wit":8,"wiles":8,"wisdom":7,"wonder":8,"woe":8}
RANK #19,	Token ID: 4025,	 score: 47,	type:hag,	skills: {"will":6,"wit":7,"wiles":8,"wisdom":9,"wonder":9,"woe":8}
RANK #20,	Token ID: 4097,	 score: 47,	type:seer,	skills: {"will":5,"wit":8,"wiles":8,"wisdom":9,"wonder":9,"woe":8}
RANK #21,	Token ID: 4776,	 score: 47,	type:seer,	skills: {"will":9,"wit":7,"wiles":8,"wisdom":8,"wonder":7,"woe":8}
RANK #22,	Token ID: 8087,	 score: 47,	type:seer,	skills: {"will":9,"wit":8,"wiles":8,"wisdom":7,"wonder":9,"woe":6}
RANK #23,	Token ID: 8181,	 score: 47,	type:hag,	skills: {"will":7,"wit":9,"wiles":8,"wisdom":7,"wonder":9,"woe":7}
RANK #24,	Token ID: 8328,	 score: 47,	type:hag,	skills: {"will":8,"wit":9,"wiles":6,"wisdom":9,"wonder":9,"woe":6}
RANK #25,	Token ID: 9243,	 score: 47,	type:necromancer,	skills: {"will":9,"wit":7,"wiles":6,"wisdom":8,"wonder":8,"woe":9}
RANK #26,	Token ID: 1337,	 score: 46,	type:occultist,	skills: {"will":8,"wit":8,"wiles":9,"wisdom":6,"wonder":6,"woe":9}
RANK #27,	Token ID: 1939,	 score: 46,	type:hag,	skills: {"will":6,"wit":8,"wiles":7,"wisdom":9,"wonder":9,"woe":7}
RANK #28,	Token ID: 3485,	 score: 46,	type:necromancer,	skills: {"will":9,"wit":7,"wiles":7,"wisdom":8,"wonder":8,"woe":7}
RANK #29,	Token ID: 4864,	 score: 46,	type:necromancer,	skills: {"will":9,"wit":6,"wiles":6,"wisdom":9,"wonder":7,"woe":9}
RANK #30,	Token ID: 5062,	 score: 46,	type:enchantress,	skills: {"will":9,"wit":8,"wiles":9,"wisdom":7,"wonder":7,"woe":6}
RANK #31,	Token ID: 7106,	 score: 46,	type:occultist,	skills: {"will":7,"wit":8,"wiles":9,"wisdom":8,"wonder":6,"woe":8}
RANK #32,	Token ID: 7823,	 score: 46,	type:hag,	skills: {"will":8,"wit":9,"wiles":6,"wisdom":9,"wonder":8,"woe":6}
RANK #33,	Token ID: 8461,	 score: 46,	type:seer,	skills: {"will":9,"wit":8,"wiles":6,"wisdom":9,"wonder":6,"woe":8}
RANK #34,	Token ID: 9239,	 score: 46,	type:necromancer,	skills: {"will":8,"wit":8,"wiles":6,"wisdom":7,"wonder":8,"woe":9}
RANK #35,	Token ID: 9569,	 score: 46,	type:enchantress,	skills: {"will":8,"wit":8,"wiles":7,"wisdom":7,"wonder":8,"woe":8}
RANK #36,	Token ID: 246,	 score: 45,	type:occultist,	skills: {"will":6,"wit":9,"wiles":9,"wisdom":6,"wonder":6,"woe":9}
RANK #37,	Token ID: 1097,	 score: 45,	type:necromancer,	skills: {"will":9,"wit":8,"wiles":7,"wisdom":9,"wonder":8,"woe":4}
RANK #38,	Token ID: 1266,	 score: 45,	type:enchantress,	skills: {"will":8,"wit":9,"wiles":8,"wisdom":5,"wonder":7,"woe":8}
RANK #39,	Token ID: 1437,	 score: 45,	type:necromancer,	skills: {"will":9,"wit":7,"wiles":7,"wisdom":5,"wonder":8,"woe":9}
RANK #40,	Token ID: 1517,	 score: 45,	type:occultist,	skills: {"will":6,"wit":7,"wiles":9,"wisdom":8,"wonder":6,"woe":9}
RANK #41,	Token ID: 2857,	 score: 45,	type:occultist,	skills: {"will":7,"wit":8,"wiles":8,"wisdom":8,"wonder":8,"woe":6}
RANK #42,	Token ID: 3037,	 score: 45,	type:hag,	skills: {"will":5,"wit":9,"wiles":8,"wisdom":9,"wonder":6,"woe":8}
RANK #43,	Token ID: 3068,	 score: 45,	type:hag,	skills: {"will":5,"wit":7,"wiles":8,"wisdom":9,"wonder":8,"woe":8}
RANK #44,	Token ID: 3504,	 score: 45,	type:necromancer,	skills: {"will":9,"wit":8,"wiles":8,"wisdom":7,"wonder":7,"woe":6}
RANK #45,	Token ID: 3523,	 score: 45,	type:seer,	skills: {"will":7,"wit":7,"wiles":7,"wisdom":9,"wonder":9,"woe":6}
RANK #46,	Token ID: 3919,	 score: 45,	type:necromancer,	skills: {"will":9,"wit":3,"wiles":7,"wisdom":9,"wonder":8,"woe":9}
RANK #47,	Token ID: 4387,	 score: 45,	type:seer,	skills: {"will":9,"wit":8,"wiles":8,"wisdom":7,"wonder":8,"woe":5}
RANK #48,	Token ID: 4461,	 score: 45,	type:seer,	skills: {"will":9,"wit":8,"wiles":5,"wisdom":9,"wonder":6,"woe":8}
RANK #49,	Token ID: 4609,	 score: 45,	type:occultist,	skills: {"will":7,"wit":9,"wiles":9,"wisdom":3,"wonder":8,"woe":9}
RANK #50,	Token ID: 4957,	 score: 45,	type:hag,	skills: {"will":5,"wit":9,"wiles":6,"wisdom":8,"wonder":9,"woe":8}
RANK #51,	Token ID: 5304,	 score: 45,	type:necromancer,	skills: {"will":5,"wit":8,"wiles":8,"wisdom":9,"wonder":6,"woe":9}
RANK #52,	Token ID: 5469,	 score: 45,	type:hag,	skills: {"will":7,"wit":9,"wiles":5,"wisdom":9,"wonder":8,"woe":7}
RANK #53,	Token ID: 5597,	 score: 45,	type:occultist,	skills: {"will":8,"wit":8,"wiles":9,"wisdom":7,"wonder":4,"woe":9}
RANK #54,	Token ID: 5988,	 score: 45,	type:mage,	skills: {"will":7,"wit":8,"wiles":6,"wisdom":6,"wonder":9,"woe":9}
RANK #55,	Token ID: 6606,	 score: 45,	type:necromancer,	skills: {"will":9,"wit":6,"wiles":8,"wisdom":8,"wonder":5,"woe":9}
RANK #56,	Token ID: 7158,	 score: 45,	type:occultist,	skills: {"will":5,"wit":9,"wiles":9,"wisdom":5,"wonder":8,"woe":9}
RANK #57,	Token ID: 7440,	 score: 45,	type:necromancer,	skills: {"will":6,"wit":7,"wiles":8,"wisdom":7,"wonder":8,"woe":9}
RANK #58,	Token ID: 8010,	 score: 45,	type:enchantress,	skills: {"will":8,"wit":8,"wiles":9,"wisdom":5,"wonder":7,"woe":8}
RANK #59,	Token ID: 8158,	 score: 45,	type:hag,	skills: {"will":5,"wit":9,"wiles":7,"wisdom":9,"wonder":9,"woe":6}
RANK #60,	Token ID: 8162,	 score: 45,	type:occultist,	skills: {"will":8,"wit":9,"wiles":6,"wisdom":8,"wonder":5,"woe":9}
RANK #61,	Token ID: 8874,	 score: 45,	type:necromancer,	skills: {"will":7,"wit":5,"wiles":8,"wisdom":9,"wonder":7,"woe":9}
RANK #62,	Token ID: 9454,	 score: 45,	type:necromancer,	skills: {"will":9,"wit":6,"wiles":8,"wisdom":9,"wonder":8,"woe":5}
RANK #63,	Token ID: 9493,	 score: 45,	type:seer,	skills: {"will":9,"wit":6,"wiles":7,"wisdom":9,"wonder":9,"woe":5}
